Id,Date,StepTotal
2022484408,1460412000,11875
2022484408,1460498400,12024
2022484408,1460584800,10690
2022484408,1460671200,11034
2022484408,1460757600,10100
2022484408,1460844000,15112
2022484408,1460930400,14131
2022484408,1461016800,11548
2022484408,1461103200,15112
2022484408,1461189600,12453
2022484408,1461276000,12954
2022484408,1461362400,6001
2022484408,1461448800,13481
2022484408,1461535200,11369
2022484408,1461621600,10119
2022484408,1461708000,10159
2022484408,1461794400,10140
2022484408,1461880800,10245
2022484408,1461967200,18387
2022484408,1462053600,10538
2022484408,1462140000,10379
2022484408,1462226400,12183
2022484408,1462312800,11768
2022484408,1462399200,11895
2022484408,1462485600,10227
2022484408,1462572000,6708
2022484408,1462658400,3292
2022484408,1462744800,13379
2022484408,1462831200,12798
2022484408,1462917600,13272
2022484408,1463004000,9117
